"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E-Commerce Application","Login","User Login","0","6","0","0","0"
"E-Commerce Order Tests","Order Functionality","Order Modal Display","0","1","0","0","0"
"E-Commerce Application","Contact Form","Contact Modal","0","9","0","0","0"
"","","User Registration","0","9","0","0","0"
"E-Commerce Application","Home Page","Categories","0","4","0","0","0"
"E-Commerce Application","Home Page","Pagination","0","4","0","0","0"
"E-Commerce Application","Home Page","Slider","0","2","0","0","0"
"E-Commerce Application","Home Page","Products","0","5","0","0","0"
"E-Commerce Application","About Us Modal","About Us Modal","0","4","0","0","0"
"E-Commerce Application","Home Page","Navbar","0","2","0","0","0"
"E-Commerce Application","Home Page","User State","0","2","0","0","0"
"E-Commerce Order Tests","Order Functionality","Order Submission Validation","0","2","0","0","0"
"E-Commerce Order Tests","Order Functionality","Order Success Modal Display","0","1","0","0","0"
"E-Commerce Cart Tests","Cart Functionality","Cart Page","0","2","0","0","0"
"E-Commerce Cart Tests","Cart Functionality","Cart Delete Product","0","1","0","0","0"
"E-Commerce Order Tests","Order Functionality","Order Modal Total Amount","0","1","0","0","0"
"E-Commerce Application","Login","User Login Security","0","2","0","0","0"
"E-Commerce Order Tests","Order Functionality","Order Modal Title","0","1","0","0","0"
"E-Commerce Cart Tests","Cart Functionality","Cart Add Single Product","0","1","0","0","0"
